datetime,GOOG,cash,commission,total,returns,equity_curve,drawdown
2014-01-01,0.0,100000.0,0.0,100000.0,,,
2021-03-31,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-30,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-29,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-22,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-19,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-18,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-17,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-16,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-15,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-12,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-11,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-10,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-09,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-08,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-05,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-04,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-03,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-02,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-03-01,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-02-26,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-02-25,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-02-24,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
2021-02-23,0.0,100000.0,0.0,100000.0,0.0,1.0,0.0
